//<Encoding>UTF-8</Encoding>
Cruise	QF	Station	QF	Type	QF	yyyy-mm-ddThh:mm:ss.sss	QF	Longitude [degrees_east]	QF	Latitude [degrees_north]	QF	QV:ODV:STATION	Dummy Var	Longitude	Latitude	Time [yr]	Day of Year	Longitude @ Dummy Var=first	Latitude @ Dummy Var=first	Time [yr] @ Dummy Var=first	Day of Year @ Dummy Var=first	Depth [m]  at  Oxygen [ml/l]=0.45 @ Depth [m]  at  Oxygen [ml/l]=0.45=first
WOA13_1.00deg_1955-2012_Annual	1	25148	1	B	1		1	240.50000	1	10.50000	1	1	0	240.5	10.5			240.5	10.5			134.497
WOA13_1.00deg_1955-2012_Annual	1	25149	1	B	1		1	241.50000	1	10.50000	1	1	0	241.5	10.5			241.5	10.5			130.966
WOA13_1.00deg_1955-2012_Annual	1	25150	1	B	1		1	242.50000	1	10.50000	1	1	0	242.5	10.5			242.5	10.5			128.708
WOA13_1.00deg_1955-2012_Annual	1	25151	1	B	1		1	243.50000	1	10.50000	1	1	0	243.5	10.5			243.5	10.5			127.788
WOA13_1.00deg_1955-2012_Annual	1	25152	1	B	1		1	244.50000	1	10.50000	1	1	0	244.5	10.5			244.5	10.5			127.621
WOA13_1.00deg_1955-2012_Annual	1	25153	1	B	1		1	245.50000	1	10.50000	1	1	0	245.5	10.5			245.5	10.5			128.724
WOA13_1.00deg_1955-2012_Annual	1	25154	1	B	1		1	246.50000	1	10.50000	1	1	0	246.5	10.5			246.5	10.5			147.45
WOA13_1.00deg_1955-2012_Annual	1	25155	1	B	1		1	247.50000	1	10.50000	1	1	0	247.5	10.5			247.5	10.5			133.041
WOA13_1.00deg_1955-2012_Annual	1	25156	1	B	1		1	248.50000	1	10.50000	1	1	0	248.5	10.5			248.5	10.5			134.251
WOA13_1.00deg_1955-2012_Annual	1	25157	1	B	1		1	249.50000	1	10.50000	1	1	0	249.5	10.5			249.5	10.5			139.774
WOA13_1.00deg_1955-2012_Annual	1	25158	1	B	1		1	250.50000	1	10.50000	1	1	0	250.5	10.5			250.5	10.5			130.005
WOA13_1.00deg_1955-2012_Annual	1	25159	1	B	1		1	251.50000	1	10.50000	1	1	0	251.5	10.5			251.5	10.5			129.299
WOA13_1.00deg_1955-2012_Annual	1	25160	1	B	1		1	252.50000	1	10.50000	1	1	0	252.5	10.5			252.5	10.5			131.002
WOA13_1.00deg_1955-2012_Annual	1	25161	1	B	1		1	253.50000	1	10.50000	1	1	0	253.5	10.5			253.5	10.5			133.89
WOA13_1.00deg_1955-2012_Annual	1	25162	1	B	1		1	254.50000	1	10.50000	1	1	0	254.5	10.5			254.5	10.5			139.978
WOA13_1.00deg_1955-2012_Annual	1	25163	1	B	1		1	255.50000	1	10.50000	1	1	0	255.5	10.5			255.5	10.5			146.324
WOA13_1.00deg_1955-2012_Annual	1	25164	1	B	1		1	256.50000	1	10.50000	1	1	0	256.5	10.5			256.5	10.5			162.531
WOA13_1.00deg_1955-2012_Annual	1	25165	1	B	1		1	257.50000	1	10.50000	1	1	0	257.5	10.5			257.5	10.5			294.266
WOA13_1.00deg_1955-2012_Annual	1	25166	1	B	1		1	258.50000	1	10.50000	1	1	0	258.5	10.5			258.5	10.5			297.67
