PLATFORM_CODE,DATE (YYYY-MM-DDTHH:MI:SSZ),DATE_QC,LATITUDE (degree_north),LONGITUDE (degree_east),POSITION_QC,PRES (decibar),PRES_QC,PSAL (psu),PSAL_QC,TEMP (degree_Celsius),TEMP_QC,DOX2 (micromole/kg),DOX2_QC,CPHL (milligram/m3),CPHL_QC,PHPH (none),PHPH_QC,CDOM (ppb),CDOM_QC,DOX2_ADJUSTED (micromole/kg),DOX2_ADJUSTED_QC,DOX2_ADJUSTED_ERROR (micromole/kg),DOX2_ADJUSTED_ERROR_QC,BBP700 (m-1),BBP700_QC,LGHT (micro einstein m-2 s-1),LGHT_QC,DOWN_IRRADIANCE380 (W m-2 nm-1),DOWN_IRRADIANCE380_QC,DOWN_IRRADIANCE412 (W m-2 nm-1),DOWN_IRRADIANCE412_QC,DOWN_IRRADIANCE490 (W m-2 nm-1),DOWN_IRRADIANCE490_QC,CPHL_ADJUSTED (milligram/m3),CPHL_ADJUSTED_QC
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,5.53,1,33.873,1,28.1936,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,6.53,1,33.873,1,28.1943,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,7.45,1,33.872,1,28.1957,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,8.42,1,33.872,1,28.1954,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,9.44,1,33.872,1,28.1955,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,11.04,1,33.872,1,28.1965,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,13.0,1,33.872,1,28.1938,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,14.99,1,33.873,1,28.1966,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,16.99,1,33.872,1,28.1948,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,19.11,1,33.873,1,28.1923,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,20.89,1,33.873,1,28.1947,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,22.95,1,33.873,1,28.1969,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,24.92,1,33.874,1,28.1883,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,27.03,1,33.896,1,28.1074,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,29.07,1,33.995,1,27.7277,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,30.97,1,34.269,1,26.4487,1,,,,,,,,,,,,,,,,,,,,,,,,
6903093,2021-09-09T17:29:32Z,1,20.57777,-108.0639,1,32.94,1,34.485,1,23.9317,1,,,,,,,,,,,,,,,,,,,,,,,,
