Cruise,Station,        Date,Cast,CTD_btl,   Longitude,Latitude,     Depth,     Sal0,     Sal1,       T0,       T1,Sigma_0,Sigma_11,      Sbeox_0,Sbeox_1,Sbeox_pcnt,Fluorescence,Beam_Attn,Beam_Trans,      Par,     pH,   PO4,SiOH_4,    NO3,   NO2,   NH4
RR1804,      0,  2018-03-28,   1,      1,  -114.65566,26.95928,   798.899,  34.4705,  34.4689,   5.0323,   5.0325,27.2594,  27.258,  8.828113288,  8.829,     2.863,      0.0683,  12.3413,    4.5715,   0.0638,  7.573,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,      2,  -114.65566,26.95928,   799.602,  34.4707,   34.469,   5.0312,   5.0317,27.2597, 27.2582,  8.785522471,  8.785,     2.849,      0.0681,  12.3415,    4.5713,   0.0628,     nd,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,      3,   -114.6557, 26.9593,   698.582,  34.4546,  34.4526,   5.5027,   5.5037,27.1906, 27.1889,  6.464852765,  6.464,     2.119,      0.0690,  12.3425,    4.5701,   0.0586,  7.549,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,      4,   -114.6557,26.95932,   699.468,  34.4545,  34.4523,   5.5087,   5.5124,27.1898, 27.1876,  6.467903234,  6.469,     2.121,      0.0695,  12.3426,      4.57,   0.0568,     nd,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,      5,  -114.65562,26.95926,   599.322,  34.4354,   34.433,   6.1508,   6.1509,27.0941, 27.0923,  5.230177463,  5.229,      1.74,      0.0695,  12.3416,    4.5712,   0.0577,  7.559,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,      6,  -114.65562,26.95926,   598.968,  34.4355,  34.4332,   6.1526,    6.155, 27.094, 27.0919,  5.181498364,  5.183,     1.725,      0.0692,  12.3423,    4.5703,   0.0572,     nd,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,      7,  -114.65568, 26.9593,   498.566,  34.3978,  34.3955,   6.7009,   6.6957,26.9914, 26.9903,  7.117277544,  7.118,     2.398,      0.0677,  12.3416,    4.5711,   0.0566,  7.577,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,      8,   -114.6557, 26.9593,   498.913,   34.398,  34.3958,   6.6997,   6.7001,26.9917, 26.9899,  7.120323189,  7.119,     2.399,      0.0683,  12.3415,    4.5713,   0.0532,     nd,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,      9,   -114.6557, 26.9593,   499.101,  34.3978,  34.3957,   6.7026,    6.699,26.9912,   26.99,  7.062507911,  7.061,     2.379,      0.0683,  12.3415,    4.5713,   0.0543,     nd,    nd,    nd,     nd,    nd,    nd
RR1804,      0,  2018-03-28,   1,     10,   -114.6557, 26.9593,   499.008,  34.3983,   34.396,   6.7092,   6.7111,26.9907, 26.9886,  7.056431785,  7.057,     2.379,      0.0683,  12.3414,    4.5714,   0.0532,     nd,    nd,    nd,     nd,    nd,    nd
